item_id,From,Count,Date,Level,VIP
10004,Store1,2,9/29/2017,2,1
20004,Store1,10,9/29/2017,5,1
10001,Store2,64,9/29/2017,1,0
20002,Store2,25,9/29/2017,1,1
30002,Store2,46,9/29/2017,2,0
10001,Store2,21,9/29/2017,2,1
30001,Store2,4,9/29/2017,3,0
20007,Store2,9,9/29/2017,3,1
30005,Store2,7,9/29/2017,4,1
30003,Store2,1,9/29/2017,5,0
30004,Store2,1,9/29/2017,5,1
30004,Store2,3,9/29/2017,6,1
30004,Store2,1,9/29/2017,7,0
30006,Store2,5,9/29/2017,7,1
20004,Store2,5,9/29/2017,8,1
10006,Store2,6,9/29/2017,9,1
10009,Store2,5,9/29/2017,10,1
10009,Store2,45,9/29/2017,11,1
10005,Store1,2,9/29/2017,2,1
10007,Store1,10,9/29/2017,10,1
10009,Store1,10,9/29/2017,11,1
20001,Store2,40,9/29/2017,2,0
30002,Store2,26,9/29/2017,2,1
20003,Store2,3,9/29/2017,3,0
30007,Store2,14,9/29/2017,3,1
20003,Store2,1,9/29/2017,4,0
10008,Store2,2,9/29/2017,4,1
20008,Store2,2,9/29/2017,5,1
30006,Store2,2,9/29/2017,7,1
10005,Store2,10,9/29/2017,8,1
20008,Store2,6,9/29/2017,9,1
10007,Store2,9,9/29/2017,10,1
30006,Store2,29,9/29/2017,11,1
20004,Store1,1,9/29/2017,3,1
10001,Store2,1,9/29/2017,1,0
20001,Store2,1,9/29/2017,1,1
20001,Store2,41,9/29/2017,2,0
20004,Store2,36,9/29/2017,2,1
20002,Store2,9,9/29/2017,3,0
20004,Store2,17,9/29/2017,3,1
20004,Store2,1,9/29/2017,4,0
30005,Store2,12,9/29/2017,4,1
30004,Store2,2,9/29/2017,5,0
10005,Store2,7,9/29/2017,5,1
10007,Store2,9,9/29/2017,6,1
10004,Store2,4,9/29/2017,7,1
20005,Store2,6,9/29/2017,8,1
10007,Store2,9,9/29/2017,9,1
30007,Store2,1,9/29/2017,10,1
30007,Store2,12,9/29/2017,11,1
20005,Store1,1,9/29/2017,6,1
20003,Store2,5,9/29/2017,2,1
30001,Store2,1,9/29/2017,3,0
30009,Store2,1,9/29/2017,3,1
10007,Store2,1,9/29/2017,5,1
10008,Store2,5,9/29/2017,9,1
30005,Store2,1,9/29/2017,10,1
20006,Store2,13,9/29/2017,11,1
30003,Store2,2,9/29/2017,3,0
20003,Store2,3,9/29/2017,3,1
20004,Store2,2,9/29/2017,4,0
10005,Store2,4,9/29/2017,4,1
30009,Store2,7,9/29/2017,6,1
10007,Store2,3,9/29/2017,8,1
10007,Store2,4,9/29/2017,9,1
10007,Store2,2,9/29/2017,10,1
30007,Store2,1,9/29/2017,11,0
10009,Store2,19,9/29/2017,11,1
20006,Store1,40,9/29/2017,11,1
20001,Store2,1,9/29/2017,3,0
20005,Store2,1,9/29/2017,3,1
10005,Store2,5,9/29/2017,4,1
10003,Store2,1,9/29/2017,5,0
30009,Store2,16,9/29/2017,5,1
10009,Store2,6,9/29/2017,6,1
30005,Store2,1,9/29/2017,7,0
30005,Store2,7,9/29/2017,7,1
20005,Store2,22,9/29/2017,8,1
10005,Store2,9,9/29/2017,9,1
10009,Store2,3,9/29/2017,10,1
20005,Store2,1,9/29/2017,11,0
30009,Store2,41,9/29/2017,11,1
30004,Sale1,8,9/29/2017,4,1
30005,Sale1,8,9/29/2017,6,1
20005,Sale1,32,9/29/2017,7,1
10005,Sale1,16,9/29/2017,8,1
10006,Sale1,24,9/29/2017,9,1
10006,Sale1,40,9/29/2017,10,1
20006,Sale1,232,9/29/2017,11,1
30005,Store1,1,9/29/2017,2,1
30004,Store1,11,9/29/2017,5,1
30003,Store1,11,9/29/2017,6,1
10005,Store1,2,9/29/2017,8,1
30005,Store1,14,9/29/2017,9,1
10009,Store1,1,9/29/2017,11,0
20006,Store1,14,9/29/2017,11,1
20001,Store2,1,9/29/2017,2,0
30002,Store2,5,9/29/2017,3,0
10008,Store2,4,9/29/2017,3,1
10003,Store2,3,9/29/2017,4,0
30005,Store2,11,9/29/2017,4,1
30003,Store2,1,9/29/2017,5,0
30006,Store2,10,9/29/2017,5,1
30005,Store2,2,9/29/2017,6,0
20003,Store2,18,9/29/2017,6,1
30008,Store2,29,9/29/2017,7,1
30008,Store2,12,9/29/2017,8,1
10006,Store2,1,9/29/2017,9,0
20006,Store2,11,9/29/2017,9,1
10005,Store2,3,9/29/2017,10,1
20007,Store2,84,9/29/2017,11,1
20004,Sale1,16,9/29/2017,4,1
30007,Sale1,8,9/29/2017,6,1
30006,Sale1,32,9/29/2017,7,1
30005,Sale1,16,9/29/2017,8,1
10009,Sale1,24,9/29/2017,9,1
10005,Sale1,40,9/29/2017,10,1
30009,Sale1,232,9/29/2017,11,1
30007,Store1,10,9/29/2017,5,1
10006,Store1,10,9/29/2017,6,1
30008,Store1,12,9/29/2017,8,1
10005,Store1,10,9/29/2017,9,1
